symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,mapping_quote_current,first_percent,name,pe_ttm,dual_counter_mapping_symbol,total_shares,limitup_days
SH600960,,,1.6911,11,3.17,False,0.01,1.505,950515518,5.85,10.23,,4.84,5560515780,,5560515780,,100,-20.98882888553617,62.3,0.34,-9.64025639528674,791870870,0.18,1081267200000,-0.91,,135275001,2.9,1.505,24795,14.23,,100.0,渤海汽车,,,950515518,0
SH603124,26.929740909433164,,1.4762,11,3.07,False,0.01,8.109,29225675,99.99,9.91,,26.78,2922275243,,14573062448,0.37,100,,52.68,-0.37,18.222304838294214,288175854,2.98,1742400000000,1.41,,2852235,1.55,8.109,5492,9.76,,606.83,江南新材,70.724,,145745199,0
SH603186,194.11852080669073,0.0,2.9556,11,2.99,False,0.01,8.541,156659835,79.93,9.19,40.1061,61.15,12521820612,1770912000000.0,12521820612,,100,-1.839979858846272,996.25,-0.17,10.006520759044868,1112850718,2.32,1483372800000,-0.18,,14042793,0.98,7.743,36581,8.96,,43.95,华正新材,,,156659835,0
SH603685,,,5.1221,11,2.96,False,0.01,4.969,201465747,24.72,4.75,25.2067,26.83,4980233266,,6203498041,0.061,100,1.9488821208595062,81.29,-0.6,0.8206729140513236,135019559,0.71,1511712000000,0.09,,5541518,1.11,3.72,6764,2.75,,44.01,晨丰科技,262.421,,250950568,0
SH603311,8.980802827403789,,4.6759,11,2.93,False,0.01,2.899,235883907,16.89,6.4,45.2536,10.54,3984079189,,3984079189,0.71,100,6.793652502710934,142.37,0.0,3.345273606764554,140765182,0.48,1431878400000,0.38,,8295800,1.31,2.899,15144,3.52,,43.97,金海高科,43.914,,235883907,0
SH603607,-4.641372052270798,,4.9123,11,2.86,False,0.01,4.512,178516800,25.54,4.47,24.7862,-6.45,4559319072,,4559319072,2.741,100,10.595811415360002,159.54,-0.08,2.1700364315394127,210196690,0.71,1508860800000,0.6,,8236345,0.89,4.512,18681,4.61,,44.02,京华激光,42.222,,178516800,0
SH600939,,0.0,0.242,11,2.85,False,0.01,0.824,1902474944,3.25,4.11,270.8832,2.52,6183043568,1770912000000.0,6183043568,,100,-12.75334952146573,-6.04,0.62,-20.33591289611313,71650823,0.09,1487606400000,-0.53,,22451915,1.55,0.824,18209,1.18,,43.91,重庆建工,,,1902474944,0
SH603079,31.989140635428704,,4.4612,11,2.85,False,0.01,2.378,189029624,19.82,4.67,27.9034,11.85,3746567148,,3746567148,,100,4.318906721383646,126.57,0.05,4.585536613995833,75366236,0.55,1503417600000,0.32,,3800187,1.35,2.378,14433,2.01,,44.0,圣达生物,61.335,,189029624,0
SH600862,10.049063731623043,0.0,7.4813,11,2.83,False,0.01,5.029,1393049107,26.92,3.9,27.2674,13.92,37500881960,1770912000000.0,37500881960,0.925,100,14.645413002983151,2854.67,-0.04,3.943065459663342,1443842166,0.74,769363200000,0.75,,53958308,1.66,5.029,82781,3.87,,84.21,中航高科,35.818,,1393049107,0
SH603800,-6.934250575723766,0.0,6.9372,11,2.82,False,0.01,9.607,208000000,39.8,7.41,72.347,-18.39,8278400000,1770912000000.0,8278400000,0.251,100,11.431619890630722,179.6,0.05,-19.545227609404126,242953710,1.09,1449676800000,0.45,,6049300,1.66,9.607,29403,2.91,,44.02,洪田股份,87.795,,208000000,0
